ts,flow_duration,flow_byte,src_mac,dst_mac,src_ip,dst_ip,src_port,dst_port,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,urg_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,max_duration,min_duration,sum_duration,average_duration,std_duration,CoAP,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,MAC,Magnitue,Radius,Covariance,Variance,Weight,DS status,Fragments,Sequence number,Protocol Version,flow_idle_time,flow_active_time
1709578272.18392,0.0,0,00:0c:29:69:89:72,00:0c:29:75:b1:c6,192.168.20.102,192.168.40.243,,,1,46,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,54,54,54,54.0,0.0,54,1709578272.18392,1,546304,7.3484692283495345,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0
1709578272.183943,0.0,0,00:0c:29:69:89:72,00:0c:29:75:b1:c6,192.168.20.102,192.168.30.245,,,1,44,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,108,54,54,54.0,0.0,54,2.3126602172851562e-05,2,546304,7.3484692283495345,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0
1709578272.186575,0.0,0,00:0c:29:69:89:72,00:0c:29:75:b1:c6,192.168.20.102,192.168.40.246,,,1,52,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,162,54,54,54.0,0.0,54,0.0026319026947021484,3,546304,7.3484692283495345,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0
1709578272.18659,0.0,0,00:0c:29:69:89:72,00:0c:29:75:b1:c6,192.168.20.102,192.168.30.247,,,1,46,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,216,54,54,54.0,0.0,54,1.5020370483398438e-05,4,546304,7.3484692283495345,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0
1709578272.186597,0.0,0,00:0c:29:69:89:72,00:0c:29:75:b1:c6,192.168.20.102,192.168.40.247,,,1,52,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,270,54,54,54.0,0.0,54,7.152557373046875e-06,5,546304,7.3484692283495345,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0
1709578272.186613,0.0,0,00:0c:29:69:89:72,00:0c:29:75:b1:c6,192.168.20.102,192.168.30.248,,,1,41,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,324,54,54,54.0,0.0,54,1.5974044799804688e-05,6,546304,7.3484692283495345,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0
1709578272.187025,0.0,0,00:0c:29:69:89:72,00:0c:29:75:b1:c6,192.168.20.102,192.168.40.248,,,1,38,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,378,54,54,54.0,0.0,54,0.0004119873046875,7,546304,7.3484692283495345,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0
1709578272.187057,0.0,0,00:0c:29:69:89:72,00:0c:29:75:b1:c6,192.168.20.102,192.168.30.249,,,1,45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,432,54,54,54.0,0.0,54,3.1948089599609375e-05,8,546304,7.3484692283495345,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0
1709578272.189329,0.0,0,00:0c:29:69:89:72,00:0c:29:75:b1:c6,192.168.20.102,192.168.40.208,,,1,58,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,486,54,54,54.0,0.0,54,0.002271890640258789,9,546304,7.3484692283495345,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0
1709578272.189346,0.0,0,00:0c:29:69:89:72,00:0c:29:75:b1:c6,192.168.20.102,192.168.30.209,,,1,45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,540,54,54,54.0,0.0,54,1.71661376953125e-05,10,546304,7.3484692283495345,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0
1709578272.189366,0.0,0,00:0c:29:69:89:72,00:0c:29:75:b1:c6,192.168.20.102,192.168.40.209,,,1,40,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,594,54,54,54.0,0.0,54,2.002716064453125e-05,11,546304,7.3484692283495345,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0
1709578275.093417,0.0,163,00:0c:29:75:b1:c6,00:0c:29:69:89:72,192.168.30.10,192.168.20.102,53.0,38096.0,17,127,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709578275.093417,1709578275.093417,1709578275.093417,1709578275.093417,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,757,54,163,63.083333333333336,30.12600851239488,163,2.904050827026367,12,546304,7.94250170496257,30.12600851239488,0.0,0.0,0,0,0,0,0,1709578275.093417,0.0
1709578275.522359,0.0,0,00:0c:29:69:89:72,ff:ff:ff:ff:ff:ff,,,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709578275.093417,1709578275.093417,1709578275.093417,1709578275.093417,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,817,54,163,62.84615384615385,28.955791645584227,60,0.4289419651031494,13,0,7.927556612611092,28.955791645584227,0.0,0.0,0,0,0,0,0,0.0,0.0
1709578275.522798,0.0,0,00:0c:29:69:89:72,ff:ff:ff:ff:ff:ff,,,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709578275.093417,1709578275.093417,1709578275.093417,1709578275.093417,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,877,54,163,62.642857142857146,27.91212522711013,60,0.0004391670227050781,14,0,11.083598415954715,28.955791645584227,0.0,0.0,13,0,0,0,0,0.0,0.0
1709578275.522836,0.0,0,00:0c:29:69:89:72,ff:ff:ff:ff:ff:ff,,,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709578275.093417,1709578275.093417,1709578275.093417,1709578275.093417,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,937,54,163,62.46666666666667,26.973732078120417,60,3.790855407714844e-05,15,0,11.083598415954715,28.955791645584227,0.0,0.0,26,0,0,0,0,0.0,0.0
